Price,Sold,Cluster
24800,198,0
24800,1,0
24800,31,0
24790,64,0
24700,0,0
24700,10,0
24600,134,0
24500,289,0
24500,9,0
24500,2,0
24400,1012,0
24250,44,0
24225,5,0
24220,13,0
24005,158,0
24005,5,0
24000,51,0
24000,33,0
24000,65,0
24000,16,0
24000,17,0
24000,261,0
24000,2,0
24000,7,0
24000,32,0
24000,2,0
24000,7,0
24000,1,0
24000,12,0
24000,1,0
24000,26,0
23990,11,0
23900,2,0
23725,2,0
23625,7,0
23500,892,0
23500,37,0
23500,3,0
23500,14,0
23460,95,0
23400,159,0
23400,3,0
23300,2,0
23206,51,0
23200,1908,0
23200,50,0
23200,39,0
23100,13976,0
23100,9,0
23100,3,0
23037,68,0
23000,46,0
23000,68,0
23000,6,0
23000,5,0
23000,2,0
23000,7,0
23000,50,0
23000,14,0
23000,5,0
23000,0,0
23000,52,0
23000,1,0
23000,5,0
23000,15,0
23000,12,0
23000,46,0
22990,4,0
22990,3,0
22900,59,0
22900,131,0
22900,22,0
22900,1,0
22700,91,0
22685,7,0
22500,1480,0
22500,100,0
22500,4,0
22500,48,0
22500,39,0
22500,38,0
22500,114,0
22500,49,0
22500,18,0
22450,7,0
22448,2,0
22400,4,0
22200,913,0
22200,18,0
22150,11,0
22150,13,0
22070,1,0
22058,16,0
22000,18,0
22000,191,0
22000,58,0
22000,24,0
22000,26,0
22000,100,0
22000,74,0
22000,120,0
22000,210,0
22000,14,0
22000,1537,0
22000,140,0
22000,9,0
22000,23,0
22000,22,0
22000,5,0
22000,8,0
22000,2,0
22000,112,0
22000,18,0
22000,27,0
22000,16,0
22000,1,0
22000,0,0
21999,122,0
21999,3,0
21900,165,0
21800,28,0
21700,26,0
21700,152,0
21700,26,0
21600,21,0
21500,42,0
21500,1167,0
21500,210,0
21500,407,0
21500,21,0
21500,135,0
21500,220,0
21500,2,0
21500,0,0
21500,804,0
21500,160,0
21500,26,0
21500,263,0
21500,84,0
21500,59,0
21200,120,0
21083,348,0
21033,30,0
21000,6,0
21000,13,0
21000,13,0
21000,5,0
21000,6,0
21000,2,0
21000,113,0
21000,6,0
20999,40,0
20999,70,0
20950,8,0
20900,29,0
20900,1,0
20800,97,0
20800,0,0
20800,18,0
20700,267,0
20592,21,0
20500,43,0
20500,8,0
20500,30,0
20450,125,0
20300,3,0
20200,69,0
20100,352,0
20094,30,0
20000,66,0
20000,8,0
20000,30,0
20000,65,0
20000,278,0
20000,2,0
20000,101,0
20000,103,0
20000,44,0
20000,1,0
20000,2,0
20000,30,0
20000,24,0
20000,4,0
20000,48,0
20000,1,0
20000,5,0
20000,18,0
20000,3,0
20000,3,0
20000,13,0
20000,6,0
20000,100,0
20000,31,0
20000,3,0
20000,15,0
20000,16,0
20000,6,0
20000,22,0
20000,22,0
20000,87,0
20000,28,0
20000,3,0
20000,6,0
20000,4,0
20000,0,0
20000,9,0
19999,554,0
19999,25,0
19999,5,0
19990,566,0
19900,360,0
19900,6,0
19900,37,0
19900,34,0
19900,22,0
19900,1,0
19900,3,0
19900,18,0
19900,2,0
19882,3,0
19800,156,0
19800,304,0
19800,22,0
19800,3,0
19800,200,0
19800,2,0
19779,113,0
19650,13,0
19500,1893,0
19500,713,0
19500,25,0
19500,31,0
19500,108,0
19500,10,0
19500,102,0
19500,70,0
19500,3,0
19499,751,0
19400,290,0
19400,64,0
19215,32,0
19200,60,0
19186,41,0
19000,90,0
19000,270,0
19000,718,0
19000,556,0
19000,86,0
19000,319,0
19000,19,0
19000,34,0
19000,36,0
19000,5,0
19000,9,0
19000,11,0
19000,6,0
19000,46,0
19000,597,0
19000,26,0
19000,80,0
18999,386,0
18900,592,0
18900,93,0
18900,150,0
18900,5,0
18837,6,0
18800,305,0
18750,61,0
18500,135,0
18500,64,0
18500,31,0
18500,0,0
18500,6,0
18500,11,0
18500,2,0
18500,19,0
18500,1,0
18500,6,0
18500,219,0
18500,141,0
18500,10,0
18500,80,0
18400,264,0
18350,189,0
18280,53,0
18000,0,0
18000,48,0
18000,81,0
18000,87,0
18000,149,0
18000,63,0
18000,0,0
18000,12,0
18000,2,0
18000,80,0
18000,3,0
18000,25,0
18000,7,0
18000,17,0
18000,7,0
18000,1,0
18000,23,0
18000,57,0
18000,229,0
18000,12,0
18000,23,0
18000,97,0
18000,2,0
17990,46,0
17931,92,0
17910,3,0
17900,352,0
17900,111,0
17900,45,0
17850,66,0
17800,22,0
17800,545,0
17800,15,0
17700,11,0
17700,379,0
17700,118,0
17700,489,0
17700,5,0
17700,294,0
17700,46,0
17650,3,0
17600,29,0
17600,314,0
17500,31,0
17500,3240,0
17500,85,0
17500,40,0
17500,4,0
17500,20,0
17500,41,0
17500,3,0
17500,57,0
17500,5,0
17500,3,0
17500,33,0
17500,2,0
17499,27,0
17460,98,0
17450,1,0
17450,1,0
17450,25,0
17450,1,0
17450,5,0
17325,255,0
17300,2,0
17300,3,0
17250,114,0
17200,325,0
17200,34,0
17200,3,0
17200,641,0
17100,62,0
17000,751,0
17000,94,0
17000,9,0
17000,114,0
17000,47,0
17000,26,0
17000,44,0
17000,6,0
17000,97,0
17000,135,0
17000,20,0
17000,29,0
17000,56,0
17000,66,0
17000,453,0
17000,109,0
16999,105,0
16999,6,0
16990,2,0
16920,3,0
16910,39,0
16900,49,0
16900,16,0
16900,2,0
16900,67,0
16900,5,0
16889,245,0
16862,29,0
16800,11,0
16800,0,0
16800,2,0
16699,10,0
16650,31,0
16500,78,0
16500,171,0
16500,133,0
16500,89,0
16500,4,0
16500,57,0
16500,225,0
16500,12,0
16500,9,0
16500,24,0
16500,14,0
16500,13,0
16500,28,0
16500,7,0
16500,5,0
16499,31,0
16490,16,0
16463,5,0
16450,8,0
16450,16,0
16400,44,0
16400,55,0
16400,13,0
16400,221,0
16300,58,0
16266,51,0
16250,22,0
16200,69,0
16200,20,0
16200,17,0
16200,76,0
16110,4,0
16100,3571,0
16100,840,0
16100,87,0
16013,5,0
16000,905,0
16000,1,0
16000,197,0
16000,132,0
16000,50,0
16000,29,0
16000,50,0
16000,16,0
16000,155,0
16000,0,0
16000,140,0
16000,58,0
16000,4,0
16000,3,0
16000,18,0
16000,30,0
16000,26,0
16000,3,0
16000,5,0
15999,15,0
15999,5,0
15900,73,0
15900,289,0
15900,18,0
15900,173,0
15900,5,0
15900,58,0
15900,305,0
15900,14,0
15900,4,0
15820,7,0
15800,23,0
15750,1699,0
15750,53,0
15750,69,0
15750,1,0
15750,1,0
15750,1,0
15750,90,0
15600,140,0
15583,7,0
15540,7,0
15500,26,0
15500,45,0
15500,115,0
15500,225,0
15500,116,0
15500,127,0
15500,20,0
15500,18,0
15500,67,0
15500,4,0
15500,33,0
15500,21,0
15500,4,0
15500,2,0
15500,2,0
15500,14,0
15500,9,0
15400,8,0
15300,7,0
15271,55,0
15200,90,0
15147,502,0
15120,227,0
15100,438,0
15043,81,0
15000,440,0
15000,523,0
15000,27,0
15000,399,0
15000,58,0
15000,65,0
15000,103,0
15000,13,0
15000,7,0
15000,147,0
15000,13,0
15000,25,0
15000,39,0
15000,39,0
15000,61,0
15000,115,0
15000,94,0
15000,1,0
15000,239,0
15000,24,0
15000,7,0
15000,9,0
15000,37,0
15000,137,0
15000,21,0
15000,71,0
15000,1,0
15000,48,0
15000,121,0
15000,2241,0
15000,23,0
15000,11,0
15000,61,0
15000,8,0
15000,157,0
15000,1,0
15000,172,0
15000,4,0
15000,159,0
15000,16,0
15000,32,0
15000,16,0
15000,12,0
15000,7,0
15000,1,0
15000,7,0
15000,6,0
15000,9,0
15000,8,0
15000,83,0
15000,2,0
15000,15,0
15000,42,0
15000,6,0
15000,3,0
15000,53,0
15000,12,0
15000,12,0
15000,23,0
15000,13,0
15000,180,0
14999,6,0
14998,301,0
14990,60,0
14975,195,0
14900,49,0
14900,50,0
14900,35,0
14900,14,0
14900,12,0
14900,152,0
14899,328,0
14841,80,0
14805,101,0
14800,1318,0
14800,10,0
14750,219,0
14750,39,0
14700,138,0
14700,2,0
14600,140,0
14600,539,0
14600,151,0
14600,11,0
14580,80,0
14500,1724,0
14500,66,0
14500,18,0
14500,16,0
14500,65,0
14500,162,0
14500,5,0
14500,8,0
14500,39,0
14500,58,0
14500,7,0
14500,10,0
14500,10,0
14500,1,0
14500,1,0
14500,19,0
14500,19,0
14500,58,0
14499,3,0
14498,3257,0
14400,5,0
14300,39,0
14300,15,0
14300,7,0
14250,57,0
14250,74,0
14200,50,0
14200,16,0
14150,20,0
14000,87,0
14000,36,0
14000,42,0
14000,196,0
14000,24,0
14000,50,0
14000,143,0
14000,408,0
14000,121,0
14000,15,0
14000,50,0
14000,18,0
14000,70,0
14000,1,0
14000,204,0
14000,5,0
14000,14,0
14000,55,0
14000,12,0
13999,414,0
13999,81,0
13999,158,0
13999,51,0
13999,28,0
13990,3,0
13950,68,0
13950,117,0
13950,16,0
13900,8,0
